"Animal","Caption","Age","Gender","Ethnicity","Schooling","RecaptchaScore","Duration","Socials","Survey_01","Survey_02","Survey_03","Survey_04","Survey_05","Survey_06","Survey_07","Survey_08","Survey_09","Survey_10","Survey_11","Survey_12","One_word_comment"
"loris","no context",34,2,1,4,1,438,"1,2,3",5,4,4,5,5,4,5,1,4,4,5,4,"excellent"
"gorilla","no context",32,2,1,4,1,160,"1,5",1,1,4,2,1,5,2,4,1,5,1,4,"Cute"
"loris","no context",42,1,3,5,1,518,"1,2,3,4",4,5,4,4,5,4,5,4,5,5,4,4,"good look"
"loris","informative",61,2,1,4,1,356,"1",1,2,2,2,1,1,4,5,1,5,4,2,"unusual"
"loris","informative",25,1,2,3,1,192,"3",2,1,2,4,2,2,4,4,4,5,5,4,"cute"
"loris","no context",33,1,1,4,1,299,"1,2,3,5",4,4,4,4,4,4,4,4,4,4,4,4,"HELPING"
"gorilla","informative",48,2,3,4,1,290,"1,2,3",4,4,4,4,3,4,4,4,4,4,4,4,"like so much"
"gorilla","informative",39,1,5,3,1,463,"6",1,1,1,1,1,1,1,4,1,1,1,1,"gorilla"
"gorilla","informative",43,2,1,4,1,454,"1,2",1,3,3,4,1,5,2,5,1,5,3,4,"gorilla"
"gorilla","informative",37,2,1,4,1,419,"2",4,4,3,4,4,4,4,4,4,4,4,4,"GORILLA"
"loris","informative",35,1,1,4,1,331,"1,2",2,3,3,3,3,3,3,4,3,4,3,2,"INTIMACY"
"gorilla","informative",20,2,1,4,1,202,"1,2,5",4,4,5,3,1,5,1,4,1,5,3,4,"close"
"gorilla","no context",31,1,2,4,1,347,"1,2,3",4,5,5,4,4,4,4,5,5,5,5,5,"connection"
"gorilla","no context",51,2,1,4,1,177,"1,2,3,5",4,4,4,5,4,4,5,5,4,5,4,5,"GORILLA"
"gorilla","no context",46,2,1,3,1,373,"1,2,3",2,5,4,4,1,5,4,5,2,5,5,5,"photoshop"
"loris","no context",37,1,4,4,1,612,"1,2,3,5",4,3,5,4,3,4,3,3,4,5,4,4,"Animal"
"gorilla","informative",41,2,3,5,0,435,"1",4,5,5,4,4,4,4,5,4,4,4,5,"forest"
"gorilla","informative",25,1,1,4,1,115,"1,2,3,5",4,4,4,4,4,4,4,4,4,3,4,4,"HUMANITY"
"loris","informative",26,2,1,5,1,2305,"1,2,3,5",3,5,5,4,2,5,4,5,3,4,5,4,"such wildlife protection is essential"
"gorilla","no context",42,1,1,5,1,579,"1,2,3",4,5,5,5,2,2,4,4,5,2,4,2,"good"
"loris","informative",54,2,1,4,1,423,"1,2,3",4,5,5,5,4,4,5,4,5,5,5,4,"save animals"
"loris","informative",47,2,5,4,1,285,"1",1,2,3,3,1,4,3,4,1,4,1,3,"animal"
"loris","no context",65,1,1,2,1,379,"1,3",1,4,4,5,1,1,3,2,1,5,4,4,"Wild"
"loris","no context",21,2,1,4,0,276,"2",4,4,4,4,4,4,4,4,4,4,4,4,"THIS ANIMAL ARE Disgusting"
"gorilla","informative",55,1,1,5,1,596,"1,2,3",4,4,4,4,4,4,4,4,4,4,4,4,"good"
"loris","no context",25,2,1,4,1,301,"1,2,3,5",4,4,4,5,5,4,4,5,5,4,4,5,"research "
"loris","informative",24,1,1,4,1,246,"2",3,4,4,4,3,4,4,4,4,4,4,4,"primatoligist"
"gorilla","informative",34,1,4,4,1,332,"1,2,3",4,5,5,5,4,5,4,5,4,5,5,5,"Positive"
"loris","no context",25,2,1,4,1,405,"2",4,4,5,4,5,4,4,4,5,4,4,4,"nice"
"gorilla","informative",69,1,1,2,1,253,"1,2,3",1,4,4,3,1,4,1,5,1,5,4,4,"fortunate"
"gorilla","no context",54,2,2,4,1,284,"2,3",4,4,4,4,4,4,4,4,4,4,4,4,"come to	dawn on"
"gorilla","informative",26,2,5,4,1,212,"1,2,3,5",2,3,2,4,2,4,2,3,1,5,2,4,"Nature"
"gorilla","informative",25,2,1,4,1,191,"1,2,3,4,5",4,4,4,5,4,5,5,5,4,5,5,4,"cute"
"gorilla","informative",25,2,1,4,1,191,"1,2,3,4,5",4,4,4,5,4,5,5,5,4,5,5,4,"cute"
"loris","informative",32,2,1,4,1,167,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"nice"
"loris","informative",32,2,1,4,1,167,"1,2,3,4,5",5,5,5,5,5,5,5,5,5,5,5,5,"nice"
"loris","no context",32,1,5,5,1,195,"1,2,3,5",1,2,3,3,2,2,3,4,2,4,2,4,"Little"
"loris","informative",34,1,3,4,1,301,"1,2,3",2,3,2,4,3,2,3,4,2,4,3,4,"unique"
"loris","no context",51,2,3,5,1,226,"1,2,3",2,5,2,5,2,2,4,4,1,5,4,4,"Wild"
"loris","informative",65,2,1,4,1,426,"2,3",4,4,4,4,4,5,4,4,4,4,5,4,"Beautiful"
"gorilla","no context",34,1,2,5,1,404,"1,2,3",2,2,5,2,4,2,2,2,2,5,2,5,"nothing like this"
"gorilla","informative",37,2,1,4,1,362,"1,2,3,4,5",2,4,2,4,2,4,4,4,2,5,5,4,"WILDLIFE PETS"
"loris","informative",45,1,1,3,1,241,"1",1,4,3,3,1,4,1,4,1,4,4,4,"Odd"
